Instance Type,PricePerUnit
c5d.9xlarge,1.728
r7a.48xlarge,14.6064
m6in.2xlarge,0.55692
x2iedn.16xlarge,13.338
m4.2xlarge,0.4
m5zn.3xlarge,0.991
m6idn.2xlarge,0.63648
inf2.8xlarge,1.96786
c6a.48xlarge,7.344
r5dn.metal,8.016
m6id.24xlarge,5.6952
f1.2xlarge,1.65
r7gd.xlarge,0.2722
i4g.large,0.15444
m7i.xlarge,0.2016
i3.8xlarge,2.496
p2.8xlarge,7.2
m7gd.large,0.1068
c7gn.medium,0.0624
m7i-flex.2xlarge,0.38304
c6i.32xlarge,5.44
m5d.4xlarge,0.904
r5d.large,0.144
m5n.large,0.119
m6in.32xlarge,8.91072
c5ad.8xlarge,1.376
c6in.metal,7.2576
r5n.12xlarge,3.576
c7gn.12xlarge,2.9952
t3a.large,0.0752
c6in.large,0.1134
m5dn.2xlarge,0.544
trn1.32xlarge,21.5
m6g.12xlarge,1.848
r5a.8xlarge,1.808
inf2.24xlarge,6.49063
m5n.4xlarge,0.952
m6id.8xlarge,1.8984
r7iz.metal-16xl,5.952
i3en.metal,10.848
r7gd.2xlarge,0.5443
c1.medium,0.13
r7i.24xlarge,6.3504
c5.metal,4.08
r6i.24xlarge,6.048
m7i.24xlarge,4.8384
c6a.24xlarge,3.672
hpc7g.16xlarge,1.6832
c7g.metal,2.32
m6a.4xlarge,0.6912
x2gd.8xlarge,2.672
c5d.24xlarge,4.608
r7i.8xlarge,2.1168
x2gd.medium,0.0835
x2iezn.8xlarge,6.672
m6idn.4xlarge,1.27296
p3.16xlarge,24.48
i3en.6xlarge,2.712
x2iezn.6xlarge,5.004
c6in.32xlarge,7.2576
r5a.24xlarge,5.424
g5.24xlarge,8.144
r6in.2xlarge,0.69732
d2.8xlarge,5.52
r5.4xlarge,1.008
r5ad.xlarge,0.262
c6g.8xlarge,1.088
c6g.16xlarge,2.176
m6in.16xlarge,4.45536
r6a.large,0.1134
p2.16xlarge,14.4
r5dn.2xlarge,0.668
c6i.metal,5.44
r5d.2xlarge,0.576
m7g.large,0.0816
m7g.xlarge,0.1632
im4gn.8xlarge,2.91034
t3a.2xlarge,0.3008
r6id.large,0.1512
m6g.8xlarge,1.232
m3.large,0.133
vt1.6xlarge,1.3
i3en.12xlarge,5.424
x1.16xlarge,6.669
r6gd.16xlarge,3.6864
c7a.12xlarge,2.46336
m6gd.16xlarge,2.8928
r5b.8xlarge,2.384
r6a.2xlarge,0.4536
m1.medium,0.087
r7i.metal-48xl,12.7008
g5.48xlarge,16.288
c7gn.8xlarge,1.9968
m5a.24xlarge,4.128
m6g.medium,0.0385
x2iezn.2xlarge,1.668
d3en.8xlarge,4.20576
c6id.2xlarge,0.4032
r4.8xlarge,2.128
r6gd.medium,0.0576
c3.2xlarge,0.42
g4dn.16xlarge,4.352
i3.16xlarge,4.992
i2.4xlarge,3.41
c7a.4xlarge,0.82112
r5ad.4xlarge,1.048
r5d.16xlarge,4.608
m6g.xlarge,0.154
m5.2xlarge,0.384
r5ad.8xlarge,2.096
c6g.xlarge,0.136
d2.4xlarge,2.76
m6idn.8xlarge,2.54592
c6gn.2xlarge,0.3456
h1.8xlarge,1.872
m6id.12xlarge,2.8476
c6id.metal,6.4512
m6in.metal,8.91072
r6g.4xlarge,0.8064
c7gd.medium,0.0454
m6g.16xlarge,2.464
g5.8xlarge,2.448
c6a.16xlarge,2.448
r7a.4xlarge,1.2172
